text,text_en,cmp_code,eu_code,party_id,year,sentence_id,cmp_code_clean,gpt_migration
"Unsere Universitäten sollen in die Lage versetzt werden, erstklassige Talente aus Deutschland und aller Welt anzuziehen und unser Land in den Top-Branchen zu einem internationalen Innovationsführer zu machen.",Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors.,411,,41953,2025,41953_2025_24,411,1.0
"Dies gilt für den eingeschränkten Zugang zu Rohstoffen wie seltene Erden für alternative Energien und Antriebe, zu preiswerter fossiler oder nuklearer Energie genauso wie für gut ausgebildete in- und ausländische Fachkräfte.","This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists.",401,,41953,2025,41953_2025_33,401,1.0
Für gut ausgebildete Fachkräfte aus dem In- und Ausland ist Deutschland nicht mehr attraktiv:,Germany is no longer attractive for well-educated skilled workers from Germany and abroad:,411,,41953,2025,41953_2025_39,411,1.0
einen Stopp der Abwanderung heimischer Fachkräfte,A stop to the brain drain from Germany,411,,41953,2025,41953_2025_94,411,1.0
"und die Zurückgewinnung Ausgewanderter durch attraktive Rahmenbedingungen für Arbeit,","and the recruitment of emigrants through attractive framework conditions for work,",701,,41953,2025,41953_2025_95,701,1.0
"das Fremdrentenrecht in Anbetracht der systematischen Benachteiligung von Spätaussiedlern reformieren,",reform foreign pension law in view of the systematic discrimination against ethnic German immigrants,503,,41953,2025,41953_2025_158,503,1.0
Für jedes neugeborene Kind mit deutscher Staatsangehörigkeit und dauerhaftem Aufenthalt in Deutschland wird ein individuelles Altersvorsorge-Depot eingerichtet.,An individual retirement savings account is set up for every newborn child with German citizenship and permanent residence in Germany.,504,,41953,2025,41953_2025_170,504,1.0
"Begrenzung der Zuwanderung auf qualifizierte Arbeitskräfte, damit diese am Ende ihres Erwerbslebens nicht auf deutsche Sozialleistungen angewiesen sind.",limitation of immigration to qualified workers so that they are not dependent on German social benefits at the end of their working life.,505,,41953,2025,41953_2025_186,505,1.0
Die hohen Regelbedarfssätze im Bürgergeld stellen zudem einen der Magneten für die Einwanderung in unsere Sozialsysteme dar.,The high standard benefit rates in the Citizen's Allowance are also one of the magnets for immigration into our welfare systems.,505,,41953,2025,41953_2025_230,505,1.0
"Fast die Hälfte der Bürgergeldempfänger sind inzwischen Ausländer, von denen die meisten noch nie in unsere Sozialsysteme eingezahlt haben.","Almost half of the recipients of Citizen's Income are now foreigners, most of whom have never paid into our welfare systems.",601.2,,41953,2025,41953_2025_231,601.2,1.0
"Diese Masseneinwanderung in den Bürgergeld-Bezug bedroht dessen Finanzierbarkeit zulasten der tatsächlich bedürftigen Mitglieder unserer Gesellschaft, der Steuerzahler und des deutschen Sozialstaates in seiner Gesamtheit.","This mass immigration into the citizens' allowance system threatens its financial viability at the expense of the members of our society who are actually in need, the taxpayers and the German welfare state as a whole.",601.2,,41953,2025,41953_2025_232,601.2,1.0
"Geflüchteten den Aufenthaltsstatus bei Reisen ins Heimatland entziehen,","withdraw the residence status of refugees when traveling to their home country,",601.2,,41953,2025,41953_2025_240,601.2,1.0
"eine sozialversicherungspflichtige Erwerbstätigkeit ohne „aufstockende“ Sozialleistungen von mindestens zehn Jahren in Deutschland zur Voraussetzung für den Bürgergeld-Bezug ausländischer Staatsangehöriger machen und ihren Bürgergeld-Bezug auf ein Jahr begrenzen,","make gainful employment subject to social insurance contributions without ""top-up"" social benefits for at least ten years in Germany a prerequisite for foreign nationals to receive citizen's allowance and limit their receipt of citizen's allowance to one year,",505,,41953,2025,41953_2025_241,505,1.0
"ukrainische Kriegsflüchtlinge unter Beibehaltung ihrer Arbeitsmöglichkeiten aus dem Bürgergeld wieder ausgliedern und im Leistungsbezug den Asylbewerbern gleichstellen,","remove Ukrainian war refugees from the citizen's allowance while retaining their work opportunities and place them on an equal footing with asylum seekers in terms of benefit receipt,",505,,41953,2025,41953_2025_242,505,1.0
Personal aus dem Ausland – nur nach deutschen Standards,Staff from abroad - only in accordance with German standards,H,,41953,2025,41953_2025_345,H,1.0
Es müssen vorrangig Studienplatzbewerber mit deutscher Staatsangehörigkeit für das Fach Medizin/Zahnmedizin ausgebildet werden.,Priority must be given to training applicants with German citizenship for the subject of medicine/dentistry.,601.1,,41953,2025,41953_2025_348,601.1,1.0
In weiten Teilen Deutschlands herrscht unter anderem durch unkontrollierte Einwanderung Wohnungsnot.,"There is a housing shortage in many parts of Germany, partly due to uncontrolled immigration.",601.2,,41953,2025,41953_2025_363,601.2,1.0
"sowie die Grunderwerbssteuer für ausländische Käufer mit Hauptwohnsitz außerhalb der EU auf 20 % zu erhöhen, so wie in Österreich.",", and the land transfer tax for foreign buyers with a main residence outside the EU should be increased to 20%, as in Austria.",406,,41953,2025,41953_2025_371,406,1.0
"Um die Wettbewerbsfähigkeit deutscher Spediteure zu sichern, wollen wir die Einhaltung der Kabotage- und Sozialvorschriften bei ausländischen Spediteuren konsequent überwachen.","In order to ensure the competitiveness of German freight forwarders, we want to consistently monitor compliance with cabotage and social regulations by foreign freight forwarders.",406,,41953,2025,41953_2025_486,406,1.0
Wahre Kosten der Asylpolitik freilegen,Uncovering the true costs of asylum policy,H,,41953,2025,41953_2025_613,H,1.0
"Die Kosten der Asylpolitik verteilen sich in schwer überschaubarer Weise auf zahlreiche Einzelpläne der Bundes-, Landes- und Kommunalebene.","The costs of asylum policy are spread across numerous individual budgets at federal, state and municipal level in a way that is difficult to understand.",414,,41953,2025,41953_2025_614,414,1.0
