text,text_en,cmp_code,eu_code,party_id,year,sentence_id,cmp_code_clean,gpt_migration,predicted_label
Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors.,Our universities should be put in a position to attract first-class talent from Germany and all over the world and make our country an international innovation leader in the top sectors.,411,,41953,2025,41953_2025_24,411,1,economic
"This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists.","This applies to the restricted access to raw materials such as rare earths for alternative energies and drives, to cheap fossil or nuclear energy and to well-trained domestic and foreign specialists.",401,,41953,2025,41953_2025_33,401,1,economic
Germany is no longer attractive for well-educated skilled workers from Germany and abroad:,Germany is no longer attractive for well-educated skilled workers from Germany and abroad:,411,,41953,2025,41953_2025_39,411,1,economic
A stop to the brain drain from Germany,A stop to the brain drain from Germany,411,,41953,2025,41953_2025_94,411,1,security
"and the recruitment of emigrants through attractive framework conditions for work,","and the recruitment of emigrants through attractive framework conditions for work,",701,,41953,2025,41953_2025_95,701,1,economic
reform foreign pension law in view of the systematic discrimination against ethnic German immigrants,reform foreign pension law in view of the systematic discrimination against ethnic German immigrants,503,,41953,2025,41953_2025_158,503,1,cultural
An individual retirement savings account is set up for every newborn child with German citizenship and permanent residence in Germany.,An individual retirement savings account is set up for every newborn child with German citizenship and permanent residence in Germany.,504,,41953,2025,41953_2025_170,504,1,cultural
limitation of immigration to qualified workers so that they are not dependent on German social benefits at the end of their working life.,limitation of immigration to qualified workers so that they are not dependent on German social benefits at the end of their working life.,505,,41953,2025,41953_2025_186,505,1,economic
The high standard benefit rates in the Citizen's Allowance are also one of the magnets for immigration into our welfare systems.,The high standard benefit rates in the Citizen's Allowance are also one of the magnets for immigration into our welfare systems.,505,,41953,2025,41953_2025_230,505,1,economic
"Almost half of the recipients of Citizen's Income are now foreigners, most of whom have never paid into our welfare systems.","Almost half of the recipients of Citizen's Income are now foreigners, most of whom have never paid into our welfare systems.",601.2,,41953,2025,41953_2025_231,601.2,1,economic
"This mass immigration into the citizens' allowance system threatens its financial viability at the expense of the members of our society who are actually in need, the taxpayers and the German welfare state as a whole.","This mass immigration into the citizens' allowance system threatens its financial viability at the expense of the members of our society who are actually in need, the taxpayers and the German welfare state as a whole.",601.2,,41953,2025,41953_2025_232,601.2,1,economic
"withdraw the residence status of refugees when traveling to their home country,","withdraw the residence status of refugees when traveling to their home country,",601.2,,41953,2025,41953_2025_240,601.2,1,humanitarian
"make gainful employment subject to social insurance contributions without ""top-up"" social benefits for at least ten years in Germany a prerequisite for foreign nationals to receive citizen's allowance and limit their receipt of citizen's allowance to one year,","make gainful employment subject to social insurance contributions without ""top-up"" social benefits for at least ten years in Germany a prerequisite for foreign nationals to receive citizen's allowance and limit their receipt of citizen's allowance to one year,",505,,41953,2025,41953_2025_241,505,1,economic
"remove Ukrainian war refugees from the citizen's allowance while retaining their work opportunities and place them on an equal footing with asylum seekers in terms of benefit receipt,","remove Ukrainian war refugees from the citizen's allowance while retaining their work opportunities and place them on an equal footing with asylum seekers in terms of benefit receipt,",505,,41953,2025,41953_2025_242,505,1,economic
Staff from abroad - only in accordance with German standards,Staff from abroad - only in accordance with German standards,H,,41953,2025,41953_2025_345,H,1,economic
Priority must be given to training applicants with German citizenship for the subject of medicine/dentistry.,Priority must be given to training applicants with German citizenship for the subject of medicine/dentistry.,601.1,,41953,2025,41953_2025_348,601.1,1,economic
"There is a housing shortage in many parts of Germany, partly due to uncontrolled immigration.","There is a housing shortage in many parts of Germany, partly due to uncontrolled immigration.",601.2,,41953,2025,41953_2025_363,601.2,1,economic
", and the land transfer tax for foreign buyers with a main residence outside the EU should be increased to 20%, as in Austria.",", and the land transfer tax for foreign buyers with a main residence outside the EU should be increased to 20%, as in Austria.",406,,41953,2025,41953_2025_371,406,1,economic
"In order to ensure the competitiveness of German freight forwarders, we want to consistently monitor compliance with cabotage and social regulations by foreign freight forwarders.","In order to ensure the competitiveness of German freight forwarders, we want to consistently monitor compliance with cabotage and social regulations by foreign freight forwarders.",406,,41953,2025,41953_2025_486,406,1,economic
Uncovering the true costs of asylum policy,Uncovering the true costs of asylum policy,H,,41953,2025,41953_2025_613,H,1,humanitarian
"The costs of asylum policy are spread across numerous individual budgets at federal, state and municipal level in a way that is difficult to understand.","The costs of asylum policy are spread across numerous individual budgets at federal, state and municipal level in a way that is difficult to understand.",414,,41953,2025,41953_2025_614,414,1,economic
We call for a differentiated and transparent breakdown in such a way that the costs of immigration are shown as a separate item in the federal budget,We call for a differentiated and transparent breakdown in such a way that the costs of immigration are shown as a separate item in the federal budget,414,,41953,2025,41953_2025_616,414,1,economic
"energy-intensive industries are migrating,","energy-intensive industries are migrating,",402,,41953,2025,41953_2025_944,402,1,economic
and want to terminate the UN Global Compact for Migration and the UN Global Compact on Refugees.,and want to terminate the UN Global Compact for Migration and the UN Global Compact on Refugees.,601.2,,41953,2025,41953_2025_1087,601.2,1,humanitarian
Our primary interests are the prevention of new mass migration,Our primary interests are the prevention of new mass migration,601.2,,41953,2025,41953_2025_1120,601.2,1,security
"In particular, the granting of development aid must be linked without exception to the willingness of partner countries to take back their citizens who are obliged to leave Germany and to cooperate quickly and effectively in establishing citizenship or ethnicity.","In particular, the granting of development aid must be linked without exception to the willingness of partner countries to take back their citizens who are obliged to leave Germany and to cooperate quickly and effectively in establishing citizenship or ethnicity.",601.2,,41953,2025,41953_2025_1161,601.2,1,cultural
ASYLUM AND MIGRATION POLICY,ASYLUM AND MIGRATION POLICY,H,,41953,2025,41953_2025_1171,H,1,cultural
"In recent decades, the political framework conditions in Germany have been designed in such a way that the country has become the main point of attraction for poor migrants from the Middle East and Africa in particular.","In recent decades, the political framework conditions in Germany have been designed in such a way that the country has become the main point of attraction for poor migrants from the Middle East and Africa in particular.",601.2,,41953,2025,41953_2025_1172,601.2,1,economic
"In addition, German social systems have an enormous pull effect and set huge migration flows in motion.","In addition, German social systems have an enormous pull effect and set huge migration flows in motion.",601.2,,41953,2025,41953_2025_1173,601.2,1,economic
"In conjunction with the irresponsible policy of open borders, which is fueling uncontrolled immigration in the millions, the German government is sending out signals that are completely contrary to the interests of our country.","In conjunction with the irresponsible policy of open borders, which is fueling uncontrolled immigration in the millions, the German government is sending out signals that are completely contrary to the interests of our country.",601.2,,41953,2025,41953_2025_1174,601.2,1,security
"While some of our European neighbors have massively curbed mass immigration, German politicians continue to remain inactive.","While some of our European neighbors have massively curbed mass immigration, German politicians continue to remain inactive.",601.2,,41953,2025,41953_2025_1180,601.2,1,security
"Instead of reforming asylum law, the government has taken up the cause of legalizing illegal immigration.","Instead of reforming asylum law, the government has taken up the cause of legalizing illegal immigration.",601.2,,41953,2025,41953_2025_1181,601.2,1,security
